#{"t_start": 1638379752.447189, "env_id": null}
r,l,t
55326.263544,331,512.415585
58786.859856,334,514.059415
54490.504045,335,514.638736
54651.16239,331,515.183173
58840.252656,336,515.744524
59570.147693,339,516.317968
59207.060137,334,516.890524
57053.237607,326,518.602721
59070.834475,328,519.134285
59004.324091,337,519.730046
60584.040621,333,520.291029
57408.301664,337,520.851997
59320.631837,329,521.390963
59711.562209,335,523.007021
59058.860481,329,523.543146
60049.50495,333,524.071493
61160.754399,337,524.617254
58970.632152,336,525.144495
58831.028637,334,525.701299
61686.922545,339,526.296242
57861.559111,333,528.191394
56158.934405,332,528.871905
59755.572079,338,529.442499
59226.325835,339,530.000309
59346.275102,330,530.565757
56609.689308,328,531.12162
57500.206959,340,532.893507
61918.763004,339,533.7035
61934.561057,334,534.302132
55914.68467,337,534.926708
59671.48725,331,535.498966
60343.190454,335,536.078434
58603.567069,334,537.806991
57020.261352,339,538.463983
57314.750532,337,539.112808
57856.283888,335,539.713874
57614.005222,331,540.334021
60977.230482,338,540.934933
61414.37625,337,542.734447
59106.919074,337,543.336002
58555.049002,319,543.898439
59458.845532,337,544.465497
59341.502031,336,545.032048
60030.970897,330,545.583772
57335.042656,337,548.168055
59782.470188,336,548.791762
54917.565679,333,549.440692
57747.053845,336,550.069134
57349.136498,333,550.835297
59853.305562,337,551.461549
58699.299302,333,553.16713
59808.186111,336,553.757651
56604.84801,335,554.309072
60432.788568,338,554.859899
59582.262195,333,555.42205
61734.426045,336,555.991424
57128.823201,333,557.78781
60218.981269,335,558.338806
60701.300567,333,558.922533
62071.012031,336,559.479314
58880.983473,334,560.019621
59520.682928,337,560.585281
59730.75684,333,562.309749
57399.278873,337,562.856008
59223.412449,339,563.43592
59242.944397,335,563.987301
57822.770748,336,564.55981
59190.594686,335,565.146365
59411.245167,329,565.696124
56529.6097,333,567.442077
58773.614684,334,567.987492
59620.987563,341,568.548518
62130.981927,339,569.156083
59510.938221,331,569.699433
58109.934095,338,570.245255
59810.33655,334,571.915832
59588.201801,328,572.471503
58682.960334,325,573.021537
61745.174618,335,573.588874
60179.80064,337,574.191167
59156.708999,334,574.780882
60287.593522,334,576.45364
54931.059613,339,577.049949
59273.63948,333,577.619124
58380.461784,338,578.319034
60541.052639,335,578.868776
57629.532325,337,579.424507
61707.430665,341,581.18081
60636.06257,335,581.763693
60287.794951,334,582.301248
58933.26781,338,582.869637
57730.841116,331,583.428639
56068.443158,333,583.990385
60269.176226,334,585.918274
56383.560366,331,586.575754
59933.918439,333,587.150444
61299.355378,334,587.821354
59216.132159,336,588.504098
57560.513852,335,589.077765
57908.493285,335,590.743159
57419.375873,333,591.286998
59499.059195,334,591.842575
55294.134621,332,592.381276
59198.492742,340,592.956766
60592.873533,333,593.730781
57358.830145,334,596.038949
59345.120703,335,596.639318
59792.360043,336,597.208737
60044.38473,336,597.758284
60099.875473,337,598.362997
59162.98029,334,598.951226
59035.877803,334,600.922719
60400.467951,332,601.787915
61287.41884,331,602.633209
59707.270427,335,603.472645
60812.114133,338,604.15263
59607.677734,336,604.841215
60808.633647,339,606.781148
60350.579627,334,607.330463
59952.509841,333,607.883569
60518.143318,334,608.415053
59933.851917,337,608.957441
60635.956124,332,609.528119
60488.249283,333,610.051697
59801.098071,334,611.736791
59586.785015,332,612.454639
60524.942388,333,613.130663
61562.082811,334,613.74866
61202.354634,339,614.313399
60047.840213,334,614.998162
59534.054882,324,617.18732
60298.241793,333,617.727986
61080.491151,336,618.261624
59674.349522,337,618.818733
61953.369539,331,619.34622
60549.84033,334,619.880569
60163.187217,331,621.609138
60461.291954,333,622.228184
60995.208794,331,622.75832
59447.328233,330,623.351733
61774.849724,338,624.11584
57911.771739,331,624.705083
61177.626768,340,626.652655
57578.695531,330,627.394359
60378.582133,337,628.029158
59319.592711,332,628.579875
60542.276002,330,629.253214
52033.791084,337,629.94743
59746.148225,333,632.304379
58020.107559,332,632.879472
61186.144259,336,633.445893
61189.190611,337,634.122156
60909.745476,327,634.818921
61667.586168,333,635.526947
62857.506527,339,637.430686
61451.272534,333,638.002539
55961.673275,332,638.601449
59618.542308,338,639.33187
59616.970919,337,640.072681
60008.856417,334,640.666556
61554.192898,336,642.649778
57922.169138,330,643.245376
60790.800971,336,643.838567
61262.10026,339,644.562681
60718.909297,332,645.239239
61656.693452,333,645.92276
58952.607992,335,646.490445
60017.545081,333,648.693732
62185.190201,339,649.348894
55820.353068,333,650.022223
59558.680754,331,650.638372
57856.476993,328,651.345593
61581.548336,339,651.93698
60307.155875,336,653.599504
59989.939584,337,654.308501
57034.119611,328,655.093797
59904.418672,331,655.684611
59946.060826,328,656.20776
61699.151625,336,656.744602
61742.323604,330,658.443077
57891.082401,330,658.980903
59843.355798,335,659.547157
60907.023107,333,660.087334
58198.356478,335,660.661499
61084.456435,335,661.236376
61174.19832,339,663.386016
61842.402396,334,664.058223
58164.973077,335,664.596581
59718.160123,331,665.109274
58734.142296,334,665.655619
55146.595205,332,666.190061
58491.271219,333,667.901387
63506.361047,337,668.443182
61733.940953,330,669.01121
61191.767508,332,669.549391
