agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
PPO,189,0,88952.50723331251,0.44,0.06439795197740106,0.041126800619322175,0.08678190997935716,0.8185654008438819
PPO,190,0,118864.34873299394,0.2,0.09210069444444445,0.05508013253059898,0.08272128131118356,0.8674033149171271
PPO,191,0,164313.62096096287,0.28,0.07667089678510995,0.045697700936049815,0.09412607461030083,0.8484848484848485
PPO,192,0,80826.26653735015,0.68,0.04942708333333337,0.05132798906182581,0.08036001934421537,0.7940199335548173
PPO,193,0,100785.61104443298,0.41,0.06367677824267787,0.03274999540578506,0.08037745681083669,0.7833333333333333
PPO,194,0,104913.79823313706,0.48,0.052457079475308636,0.04621840243561799,0.09275237564875653,0.8387096774193549
PPO,195,0,115723.8980697632,0.28,0.08334490740740738,0.05092119950866091,0.08577955006653863,0.8628318584070797
PPO,196,0,148399.0664622462,0.26,0.06417824074074067,0.07986526617056174,0.09924139959592507,0.9337016574585635
PPO,197,0,88404.90025620688,0.62,0.05564047403381641,0.04675736628649941,0.08078056212233943,0.7833935018050542
PPO,198,0,54192.281081374254,0.46,0.0678238407258065,0.03546061405760187,0.07642231808208497,0.7590361445783133
PPO,199,0,149436.77465629313,0.32,0.07475656702898549,0.056108724852744866,0.09638705111823478,0.8972972972972973
PPO,200,0,120720.18122506519,0.2,0.09261067708333326,0.056557669159402905,0.09490803469016337,0.8803827751196173
PPO,201,0,95363.29619535069,0.47,0.05889656007751938,0.04589290636893927,0.08567369947661863,0.7992277992277992
PPO,202,0,123646.33155722175,0.38,0.07011217948717953,0.043631105323582976,0.0864972185162231,0.8198198198198198
PPO,203,0,191206.54514945354,0.47,0.05359623015873015,0.08055972364344331,0.1504415171091945,1.4928909952606635
PPO,204,0,142525.46078667018,0.38,0.06615038209606981,0.06444783925031737,0.0885651557410716,0.8521739130434782
PPO,205,0,125556.24210480471,0.28,0.07158905228758156,0.044123457569964275,0.08811842902348052,0.8536585365853658
PPO,206,0,86115.09596767371,0.44,0.08335416666666672,0.04375718870406903,0.09503380292351458,0.9402390438247012
PPO,207,0,42922.503006455314,0.65,0.053840042372881355,0.03930098974026691,0.07549320234809447,0.7736486486486487
PPO,208,0,54633.16335259817,0.47,0.06294221698113209,0.04113421018171807,0.08196737380780725,0.7781954887218046
PPO,209,0,149035.3655937434,0.31,0.09727247807017542,0.057667789907925864,0.13033428346178438,1.2460732984293195
PPO,210,0,235352.28929354987,0.38,0.09828101644245141,0.06680201132110115,0.13855900019289555,1.1696428571428572
